IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.27.116.241,4,4,0.00,238.00,0.00
104.21.9.246,4,4,0.00,238.05,0.00
104.27.207.4,4,4,0.00,238.05,0.00
104.20.36.67,4,4,0.00,238.07,0.00
104.20.29.57,4,4,0.00,238.07,0.00
172.67.94.97,4,4,0.00,238.13,0.00
104.25.153.28,4,4,0.00,238.19,0.00
104.25.164.53,4,4,0.00,238.20,0.00
104.21.201.139,4,4,0.00,238.20,0.00
172.67.154.131,4,4,0.00,238.22,0.00
104.22.76.184,4,4,0.00,238.23,0.00
172.66.143.233,4,4,0.00,238.23,0.00
104.25.220.184,4,4,0.00,238.25,0.00
104.24.71.79,4,4,0.00,238.26,0.00
172.67.209.2,4,4,0.00,238.27,0.00
172.65.105.102,4,4,0.00,238.28,0.00
104.27.48.104,4,4,0.00,238.29,0.00
104.25.70.172,4,4,0.00,238.33,0.00
104.20.69.175,4,4,0.00,238.36,0.00
104.27.96.5,4,4,0.00,238.37,0.00
172.65.115.75,4,4,0.00,238.38,0.00
104.25.183.53,4,4,0.00,238.43,0.00
104.20.136.246,4,4,0.00,238.43,0.00
104.19.113.231,4,4,0.00,238.44,0.00
104.25.64.98,4,4,0.00,238.47,0.00
104.25.241.81,4,4,0.00,238.53,0.00
104.24.54.43,4,4,0.00,238.53,0.00
104.24.236.167,4,4,0.00,238.54,0.00
172.67.169.253,4,4,0.00,238.55,0.00
172.66.197.83,4,4,0.00,238.56,0.00
104.24.62.153,4,4,0.00,238.60,0.00
104.20.18.155,4,4,0.00,238.60,0.00
104.20.214.75,4,4,0.00,238.60,0.00
104.25.135.162,4,4,0.00,238.64,0.00
104.24.220.141,4,4,0.00,238.70,0.00
104.27.35.114,4,4,0.00,238.73,0.00
104.21.59.213,4,4,0.00,238.75,0.00
104.19.22.113,4,4,0.00,238.79,0.00
104.24.168.202,4,4,0.00,238.83,0.00
172.67.241.195,4,4,0.00,238.88,0.00
104.27.85.1,4,4,0.00,238.89,0.00
104.23.113.205,4,4,0.00,238.92,0.00
104.25.150.43,4,4,0.00,238.98,0.00
104.24.37.14,4,4,0.00,238.98,0.00
104.24.132.111,4,4,0.00,238.98,0.00
104.27.104.117,4,4,0.00,239.00,0.00
172.66.157.201,4,4,0.00,239.00,0.00
104.26.14.183,4,4,0.00,239.00,0.00
172.66.200.1,4,4,0.00,239.01,0.00
104.24.81.121,4,4,0.00,239.02,0.00
104.19.46.13,4,4,0.00,239.04,0.00
172.67.76.161,4,4,0.00,239.07,0.00
104.25.76.241,4,4,0.00,239.07,0.00
104.19.116.158,4,4,0.00,239.08,0.00
104.27.18.146,4,4,0.00,239.09,0.00
104.27.77.246,4,4,0.00,239.13,0.00
104.21.23.5,4,4,0.00,239.13,0.00
104.25.101.226,4,4,0.00,239.14,0.00
172.65.7.184,4,4,0.00,239.17,0.00
104.24.88.128,4,4,0.00,239.17,0.00
104.20.254.169,4,4,0.00,239.20,0.00
104.19.67.248,4,4,0.00,239.22,0.00
104.20.184.194,4,4,0.00,239.23,0.00
104.26.1.237,4,4,0.00,239.27,0.00
104.20.128.50,4,4,0.00,239.32,0.00
104.25.35.105,4,4,0.00,239.33,0.00
172.65.128.130,4,4,0.00,239.36,0.00
172.65.55.182,4,4,0.00,239.36,0.00
172.66.194.78,4,4,0.00,239.37,0.00
172.65.187.157,4,4,0.00,239.37,0.00
104.20.64.182,4,4,0.00,239.38,0.00
104.20.181.239,4,4,0.00,239.40,0.00
104.24.84.108,4,4,0.00,239.44,0.00
104.20.47.195,4,4,0.00,239.44,0.00
104.24.148.210,4,4,0.00,239.46,0.00
104.21.118.89,4,4,0.00,239.51,0.00
104.19.55.150,4,4,0.00,239.53,0.00
104.24.20.225,4,4,0.00,239.54,0.00
104.23.122.204,4,4,0.00,239.54,0.00
104.20.92.114,4,4,0.00,239.55,0.00
104.27.39.222,4,4,0.00,239.57,0.00
104.24.240.10,4,4,0.00,239.58,0.00
172.64.235.8,4,4,0.00,239.60,0.00
172.66.166.199,4,4,0.00,239.61,0.00
104.19.57.169,4,4,0.00,239.63,0.00
104.25.27.81,4,4,0.00,239.66,0.00
104.25.191.4,4,4,0.00,239.68,0.00
104.27.87.163,4,4,0.00,239.69,0.00
104.27.90.13,4,4,0.00,239.69,0.00
172.67.142.94,4,4,0.00,239.70,0.00
104.19.53.44,4,4,0.00,239.70,0.00
172.67.102.62,4,4,0.00,239.74,0.00
104.25.107.188,4,4,0.00,239.75,0.00
104.25.121.195,4,4,0.00,239.80,0.00
104.24.80.129,4,4,0.00,239.83,0.00
172.65.179.249,4,4,0.00,239.85,0.00
104.25.198.220,4,4,0.00,239.86,0.00
104.25.251.244,4,4,0.00,239.88,0.00
104.21.63.49,4,4,0.00,239.91,0.00
104.24.25.166,4,4,0.00,239.91,0.00
104.25.12.28,4,4,0.00,239.95,0.00
104.20.13.37,4,4,0.00,239.98,0.00
104.25.106.188,4,4,0.00,239.98,0.00
172.66.205.202,4,4,0.00,240.01,0.00
104.22.70.51,4,4,0.00,240.02,0.00
104.24.227.121,4,4,0.00,240.03,0.00
104.20.145.178,4,4,0.00,240.04,0.00
172.67.57.175,4,4,0.00,240.07,0.00
172.67.80.79,4,4,0.00,240.07,0.00
104.27.123.55,4,4,0.00,240.08,0.00
172.67.126.136,4,4,0.00,240.08,0.00
104.20.164.231,4,4,0.00,240.11,0.00
104.25.79.65,4,4,0.00,240.14,0.00
172.66.136.127,4,4,0.00,240.16,0.00
104.27.24.43,4,4,0.00,240.16,0.00
104.25.81.7,4,4,0.00,240.16,0.00
172.67.198.87,4,4,0.00,240.21,0.00
104.20.247.236,4,4,0.00,240.21,0.00
104.20.147.89,4,4,0.00,240.22,0.00
104.27.89.221,4,4,0.00,240.22,0.00
172.65.156.190,4,4,0.00,240.25,0.00
104.23.115.231,4,4,0.00,240.27,0.00
104.24.204.221,4,4,0.00,240.27,0.00
104.20.179.2,4,4,0.00,240.28,0.00
104.20.224.20,4,4,0.00,240.29,0.00
104.25.131.150,4,4,0.00,240.29,0.00
104.20.155.203,4,4,0.00,240.32,0.00
104.19.51.199,4,4,0.00,240.35,0.00
104.22.71.29,4,4,0.00,240.40,0.00
104.25.253.59,4,4,0.00,240.42,0.00
104.24.195.28,4,4,0.00,240.47,0.00
172.66.202.202,4,4,0.00,240.49,0.00
104.20.50.179,4,4,0.00,240.53,0.00
104.25.147.7,4,4,0.00,240.54,0.00
104.19.56.168,4,4,0.00,240.55,0.00
104.20.109.24,4,4,0.00,240.57,0.00
104.20.219.16,4,4,0.00,240.57,0.00
104.23.107.243,4,4,0.00,240.61,0.00
104.25.244.13,4,4,0.00,240.63,0.00
104.27.41.82,4,4,0.00,240.63,0.00
104.20.75.197,4,4,0.00,240.71,0.00
104.20.198.183,4,4,0.00,240.71,0.00
104.20.142.97,4,4,0.00,240.71,0.00
104.23.96.28,4,4,0.00,240.72,0.00
104.27.62.235,4,4,0.00,240.73,0.00
104.25.31.237,4,4,0.00,240.74,0.00
104.20.250.99,4,4,0.00,240.76,0.00
104.23.125.35,4,4,0.00,240.78,0.00
104.23.102.50,4,4,0.00,240.79,0.00
104.24.22.54,4,4,0.00,240.79,0.00
104.27.12.225,4,4,0.00,240.79,0.00
172.65.103.190,4,4,0.00,240.81,0.00
104.25.66.175,4,4,0.00,240.82,0.00
172.67.82.118,4,4,0.00,240.83,0.00
104.25.43.150,4,4,0.00,240.84,0.00
104.24.87.89,4,4,0.00,240.88,0.00
104.27.23.246,4,4,0.00,240.89,0.00
104.25.56.192,4,4,0.00,240.89,0.00
172.66.150.181,4,4,0.00,240.92,0.00
104.24.35.154,4,4,0.00,240.94,0.00
104.20.103.180,4,4,0.00,240.95,0.00
104.20.197.194,4,4,0.00,240.95,0.00
104.25.2.43,4,4,0.00,240.96,0.00
172.65.106.193,4,4,0.00,240.99,0.00
104.25.197.152,4,4,0.00,241.03,0.00
104.24.210.14,4,4,0.00,241.03,0.00
172.67.90.208,4,4,0.00,241.05,0.00
104.20.183.109,4,4,0.00,241.06,0.00
172.67.91.97,4,4,0.00,241.09,0.00
104.25.40.165,4,4,0.00,241.12,0.00
104.27.6.230,4,4,0.00,241.13,0.00
104.25.122.188,4,4,0.00,241.14,0.00
172.66.212.195,4,4,0.00,241.16,0.00
104.25.114.145,4,4,0.00,241.20,0.00
104.25.116.60,4,4,0.00,241.22,0.00
104.20.163.145,4,4,0.00,241.22,0.00
172.65.126.58,4,4,0.00,241.26,0.00
104.24.163.134,4,4,0.00,241.29,0.00
104.20.162.97,4,4,0.00,241.29,0.00
104.27.99.144,4,4,0.00,241.30,0.00
104.22.5.183,4,4,0.00,241.31,0.00
104.22.77.196,4,4,0.00,241.31,0.00
172.65.171.52,4,4,0.00,241.32,0.00
104.25.216.203,4,4,0.00,241.36,0.00
104.20.121.239,4,4,0.00,241.36,0.00
104.20.125.245,4,4,0.00,241.41,0.00
104.23.129.49,4,4,0.00,241.41,0.00
104.25.199.44,4,4,0.00,241.44,0.00
104.24.173.236,4,4,0.00,241.45,0.00
172.67.114.249,4,4,0.00,241.47,0.00
104.20.91.248,4,4,0.00,241.47,0.00
104.25.245.237,4,4,0.00,241.47,0.00
104.20.173.216,4,4,0.00,241.49,0.00
104.19.90.83,4,4,0.00,241.49,0.00
172.67.50.13,4,4,0.00,241.49,0.00
104.24.90.78,4,4,0.00,241.50,0.00
104.25.137.142,4,4,0.00,241.54,0.00
104.27.10.247,4,4,0.00,241.56,0.00
104.24.10.130,4,4,0.00,241.56,0.00
104.25.7.200,4,4,0.00,241.56,0.00
104.20.51.69,4,4,0.00,241.57,0.00
104.22.37.134,4,4,0.00,241.58,0.00
104.20.174.142,4,4,0.00,241.59,0.00
104.25.177.207,4,4,0.00,241.60,0.00
104.25.11.18,4,4,0.00,241.60,0.00
172.65.119.183,4,4,0.00,241.61,0.00
104.24.57.103,4,4,0.00,241.62,0.00
104.20.24.67,4,4,0.00,241.62,0.00
104.27.46.14,4,4,0.00,241.66,0.00
104.19.50.44,4,4,0.00,241.68,0.00
104.27.30.143,4,4,0.00,241.69,0.00
104.27.58.93,4,4,0.00,241.70,0.00
104.24.233.192,4,4,0.00,241.73,0.00
104.25.192.125,4,4,0.00,241.73,0.00
104.20.15.114,4,4,0.00,241.73,0.00
172.66.164.42,4,4,0.00,241.74,0.00
104.24.40.138,4,4,0.00,241.75,0.00
104.20.113.36,4,4,0.00,241.77,0.00
104.20.165.246,4,4,0.00,241.78,0.00
172.65.165.129,4,4,0.00,241.79,0.00
104.22.66.247,4,4,0.00,241.81,0.00
104.20.210.63,4,4,0.00,241.83,0.00
104.24.46.197,4,4,0.00,241.85,0.00
104.20.202.150,4,4,0.00,241.86,0.00
104.24.191.115,4,4,0.00,241.87,0.00
104.24.48.236,4,4,0.00,241.90,0.00
104.20.253.123,4,4,0.00,241.93,0.00
172.65.33.161,4,4,0.00,241.95,0.00
104.24.137.205,4,4,0.00,241.96,0.00
104.24.253.12,4,4,0.00,241.96,0.00
104.25.186.174,4,4,0.00,241.98,0.00
104.25.190.210,4,4,0.00,241.98,0.00
172.67.87.254,4,4,0.00,242.00,0.00
104.27.16.21,4,4,0.00,242.00,0.00
172.66.195.81,4,4,0.00,242.02,0.00
104.25.242.74,4,4,0.00,242.02,0.00
104.25.85.216,4,4,0.00,242.04,0.00
104.25.100.138,4,4,0.00,242.07,0.00
104.25.15.190,4,4,0.00,242.08,0.00
104.25.82.233,4,4,0.00,242.09,0.00
104.23.132.213,4,4,0.00,242.09,0.00
104.24.30.181,4,4,0.00,242.11,0.00
104.25.65.40,4,4,0.00,242.12,0.00
172.67.60.149,4,4,0.00,242.12,0.00
104.25.156.36,4,4,0.00,242.13,0.00
104.24.55.71,4,4,0.00,242.15,0.00
104.22.11.112,4,4,0.00,242.16,0.00
172.65.113.38,4,4,0.00,242.17,0.00
104.24.1.210,4,4,0.00,242.18,0.00
104.24.21.190,4,4,0.00,242.20,0.00
104.24.70.160,4,4,0.00,242.23,0.00
104.19.102.15,4,4,0.00,242.24,0.00
104.24.146.43,4,4,0.00,242.25,0.00
104.24.53.143,4,4,0.00,242.25,0.00
104.20.217.196,4,4,0.00,242.29,0.00
104.27.204.17,4,4,0.00,242.30,0.00
104.27.199.23,4,4,0.00,242.31,0.00
104.20.172.90,4,4,0.00,242.32,0.00
104.27.196.113,4,4,0.00,242.34,0.00
104.20.251.194,4,4,0.00,242.36,0.00
172.66.171.189,4,4,0.00,242.37,0.00
104.25.51.146,4,4,0.00,242.38,0.00
104.27.205.168,4,4,0.00,242.44,0.00
104.27.66.139,4,4,0.00,242.44,0.00
104.27.37.252,4,4,0.00,242.45,0.00
104.20.175.222,4,4,0.00,242.45,0.00
172.67.85.238,4,4,0.00,242.48,0.00
104.24.162.72,4,4,0.00,242.48,0.00
104.24.142.116,4,4,0.00,242.48,0.00
172.67.110.144,4,4,0.00,242.49,0.00
162.159.35.185,4,4,0.00,242.49,0.00
172.66.199.230,4,4,0.00,242.49,0.00
104.20.157.27,4,4,0.00,242.50,0.00
104.20.54.161,4,4,0.00,242.51,0.00
104.20.169.151,4,4,0.00,242.52,0.00
104.20.96.46,4,4,0.00,242.54,0.00
104.25.132.137,4,4,0.00,242.54,0.00
104.25.152.226,4,4,0.00,242.55,0.00
104.22.79.242,4,4,0.00,242.58,0.00
172.65.122.233,4,4,0.00,242.58,0.00
104.20.223.139,4,4,0.00,242.60,0.00
104.20.46.12,4,4,0.00,242.60,0.00
172.66.158.90,4,4,0.00,242.60,0.00
104.25.41.29,4,4,0.00,242.61,0.00
104.20.249.102,4,4,0.00,242.63,0.00
104.24.159.165,4,4,0.00,242.63,0.00
104.24.69.36,4,4,0.00,242.64,0.00
172.67.51.45,4,4,0.00,242.64,0.00
104.24.237.14,4,4,0.00,242.65,0.00
104.25.221.142,4,4,0.00,242.66,0.00
104.25.211.170,4,4,0.00,242.68,0.00
104.27.53.193,4,4,0.00,242.69,0.00
104.25.203.26,4,4,0.00,242.70,0.00
104.25.90.200,4,4,0.00,242.71,0.00
104.20.79.144,4,4,0.00,242.74,0.00
104.20.33.124,4,4,0.00,242.76,0.00
104.26.5.183,4,4,0.00,242.77,0.00
104.19.23.132,4,4,0.00,242.77,0.00
104.25.72.98,4,4,0.00,242.78,0.00
172.67.48.85,4,4,0.00,242.86,0.00
172.65.159.49,4,4,0.00,242.88,0.00
104.25.124.85,4,4,0.00,242.89,0.00
104.20.231.21,4,4,0.00,242.89,0.00
172.66.149.112,4,4,0.00,242.90,0.00
172.65.133.184,4,4,0.00,242.90,0.00
104.20.133.58,4,4,0.00,242.91,0.00
172.65.180.124,4,4,0.00,242.92,0.00
104.27.94.82,4,4,0.00,242.92,0.00
104.25.112.113,4,4,0.00,242.93,0.00
104.27.25.107,4,4,0.00,242.97,0.00
172.66.128.96,4,4,0.00,242.99,0.00
104.25.215.16,4,4,0.00,242.99,0.00
104.20.237.138,4,4,0.00,243.00,0.00
172.65.97.61,4,4,0.00,243.00,0.00
172.65.101.208,4,4,0.00,243.00,0.00
104.24.13.74,4,4,0.00,243.01,0.00
104.24.255.246,4,4,0.00,243.02,0.00
104.22.3.152,4,4,0.00,243.02,0.00
104.25.237.32,4,4,0.00,243.03,0.00
104.27.81.223,4,4,0.00,243.05,0.00
104.24.219.96,4,4,0.00,243.06,0.00
104.25.111.249,4,4,0.00,243.06,0.00
104.23.137.226,4,4,0.00,243.07,0.00
104.20.7.132,4,4,0.00,243.07,0.00
104.23.140.60,4,4,0.00,243.09,0.00
104.19.18.26,4,4,0.00,243.10,0.00
172.66.137.126,4,4,0.00,243.11,0.00
172.65.75.39,4,4,0.00,243.12,0.00
104.24.143.0,4,4,0.00,243.14,0.00
104.27.109.133,4,4,0.00,243.15,0.00
104.24.52.63,4,4,0.00,243.15,0.00
104.24.11.216,4,4,0.00,243.19,0.00
172.67.95.3,4,4,0.00,243.19,0.00
104.22.40.147,4,4,0.00,243.19,0.00
172.67.72.131,4,4,0.00,243.20,0.00
104.27.124.246,4,4,0.00,243.21,0.00
172.67.96.227,4,4,0.00,243.21,0.00
104.25.108.152,4,4,0.00,243.23,0.00
172.65.143.86,4,4,0.00,243.23,0.00
104.26.3.160,4,4,0.00,243.23,0.00
104.27.200.124,4,4,0.00,243.23,0.00
104.22.65.192,4,4,0.00,243.23,0.00
104.25.39.135,4,4,0.00,243.26,0.00
104.25.196.156,4,4,0.00,243.27,0.00
172.65.109.196,4,4,0.00,243.28,0.00
172.66.216.163,4,4,0.00,243.29,0.00
172.66.201.186,4,4,0.00,243.29,0.00
104.24.228.250,4,4,0.00,243.30,0.00
172.65.71.166,4,4,0.00,243.30,0.00
104.20.205.6,4,4,0.00,243.33,0.00
172.67.101.54,4,4,0.00,243.33,0.00
104.25.80.187,4,4,0.00,243.34,0.00
104.26.12.127,4,4,0.00,243.34,0.00
104.20.44.161,4,4,0.00,243.35,0.00
104.25.187.203,4,4,0.00,243.37,0.00
104.27.101.185,4,4,0.00,243.39,0.00
104.25.161.94,4,4,0.00,243.39,0.00
172.65.96.123,4,4,0.00,243.40,0.00
104.25.128.43,4,4,0.00,243.42,0.00
104.24.178.158,4,4,0.00,243.44,0.00
104.20.16.253,4,4,0.00,243.45,0.00
104.25.126.239,4,4,0.00,243.45,0.00
104.25.165.83,4,4,0.00,243.45,0.00
104.27.26.37,4,4,0.00,243.45,0.00
104.27.3.37,4,4,0.00,243.46,0.00
104.24.7.234,4,4,0.00,243.46,0.00
104.20.154.215,4,4,0.00,243.47,0.00
172.67.67.97,4,4,0.00,243.47,0.00
104.24.203.149,4,4,0.00,243.49,0.00
104.23.118.153,4,4,0.00,243.51,0.00
104.27.126.119,4,4,0.00,243.52,0.00
172.65.131.14,4,4,0.00,243.54,0.00
104.27.7.244,4,4,0.00,243.56,0.00
172.65.160.11,4,4,0.00,243.58,0.00
104.25.208.66,4,4,0.00,243.59,0.00
104.25.68.20,4,4,0.00,243.62,0.00
104.25.102.240,4,4,0.00,243.64,0.00
104.25.127.191,4,4,0.00,243.64,0.00
104.20.123.104,4,4,0.00,243.64,0.00
172.66.141.72,4,4,0.00,243.68,0.00
104.22.38.80,4,4,0.00,243.68,0.00
104.25.96.82,4,4,0.00,243.69,0.00
104.23.111.55,4,4,0.00,243.69,0.00
104.23.139.63,4,4,0.00,243.70,0.00
104.23.131.102,4,4,0.00,243.70,0.00
104.25.139.222,4,4,0.00,243.73,0.00
104.24.244.170,4,4,0.00,243.74,0.00
104.24.66.119,4,4,0.00,243.74,0.00
104.23.99.203,4,4,0.00,243.74,0.00
104.20.28.91,4,4,0.00,243.74,0.00
104.27.84.64,4,4,0.00,243.75,0.00
172.67.66.53,4,4,0.00,243.76,0.00
172.65.172.174,4,4,0.00,243.77,0.00
104.22.10.128,4,4,0.00,243.77,0.00
104.25.154.124,4,4,0.00,243.77,0.00
104.25.46.40,4,4,0.00,243.78,0.00
104.24.202.235,4,4,0.00,243.79,0.00
172.65.78.131,4,4,0.00,243.82,0.00
172.67.118.32,4,4,0.00,243.82,0.00
104.27.121.243,4,4,0.00,243.85,0.00
104.25.193.242,4,4,0.00,243.85,0.00
104.20.255.32,4,4,0.00,243.85,0.00
104.24.131.120,4,4,0.00,243.86,0.00
104.22.1.143,4,4,0.00,243.86,0.00
104.24.50.11,4,4,0.00,243.87,0.00
104.19.71.32,4,4,0.00,243.88,0.00
172.65.117.121,4,4,0.00,243.90,0.00
104.25.58.218,4,4,0.00,243.92,0.00
104.20.137.135,4,4,0.00,243.93,0.00
104.27.44.82,4,4,0.00,243.93,0.00
104.25.91.218,4,4,0.00,243.94,0.00
172.65.118.119,4,4,0.00,243.94,0.00
104.27.69.95,4,4,0.00,243.98,0.00
104.20.189.100,4,4,0.00,243.98,0.00
104.24.196.211,4,4,0.00,243.98,0.00
104.20.115.153,4,4,0.00,243.98,0.00
172.67.53.45,4,4,0.00,244.02,0.00
104.20.144.183,4,4,0.00,244.04,0.00
172.65.69.42,4,4,0.00,244.04,0.00
104.23.143.177,4,4,0.00,244.05,0.00
104.19.74.214,4,4,0.00,244.07,0.00
104.20.242.22,4,4,0.00,244.07,0.00
104.25.44.94,4,4,0.00,244.10,0.00
104.24.78.167,4,4,0.00,244.10,0.00
172.67.74.238,4,4,0.00,244.10,0.00
104.27.95.152,4,4,0.00,244.10,0.00
104.26.4.94,4,4,0.00,244.11,0.00
172.67.112.140,4,4,0.00,244.11,0.00
104.24.89.5,4,4,0.00,244.11,0.00
104.27.40.254,4,4,0.00,244.11,0.00
104.24.58.176,4,4,0.00,244.13,0.00
104.25.184.97,4,4,0.00,244.14,0.00
104.25.144.72,4,4,0.00,244.15,0.00
104.20.17.158,4,4,0.00,244.18,0.00
104.24.183.53,4,4,0.00,244.21,0.00
172.65.114.91,4,4,0.00,244.22,0.00
162.159.80.27,4,4,0.00,244.23,0.00
104.25.226.160,4,4,0.00,244.23,0.00
104.20.48.2,4,4,0.00,244.24,0.00
172.67.89.111,4,4,0.00,244.24,0.00
172.65.72.89,4,4,0.00,244.25,0.00
104.20.49.64,4,4,0.00,244.26,0.00
104.27.55.213,4,4,0.00,244.26,0.00
104.25.189.169,4,4,0.00,244.27,0.00
104.27.43.12,4,4,0.00,244.28,0.00
172.66.203.182,4,4,0.00,244.32,0.00
104.27.34.226,4,4,0.00,244.32,0.00
104.27.193.200,4,4,0.00,244.32,0.00
104.27.59.105,4,4,0.00,244.33,0.00
172.65.170.67,4,4,0.00,244.33,0.00
104.20.135.88,4,4,0.00,244.35,0.00
172.65.182.36,4,4,0.00,244.38,0.00
104.20.12.243,4,4,0.00,244.38,0.00
104.24.167.121,4,4,0.00,244.42,0.00
104.25.38.34,4,4,0.00,244.43,0.00
104.20.216.21,4,4,0.00,244.44,0.00
104.23.136.73,4,4,0.00,244.45,0.00
172.67.58.198,4,4,0.00,244.46,0.00
172.67.63.137,4,4,0.00,244.46,0.00
104.24.28.71,4,4,0.00,244.47,0.00
172.66.208.14,4,4,0.00,244.47,0.00
104.25.169.31,4,4,0.00,244.47,0.00
104.25.240.99,4,4,0.00,244.48,0.00
104.20.166.22,4,4,0.00,244.48,0.00
104.24.224.193,4,4,0.00,244.51,0.00
104.20.87.220,4,4,0.00,244.51,0.00
104.24.205.220,4,4,0.00,244.52,0.00
172.65.183.211,4,4,0.00,244.54,0.00
104.25.250.64,4,4,0.00,244.56,0.00
104.26.6.176,4,4,0.00,244.57,0.00
104.27.108.178,4,4,0.00,244.58,0.00
172.66.198.249,4,4,0.00,244.59,0.00
104.24.156.14,4,4,0.00,244.60,0.00
104.27.106.84,4,4,0.00,244.60,0.00
104.25.205.198,4,4,0.00,244.61,0.00
172.66.133.103,4,4,0.00,244.61,0.00
104.23.106.26,4,4,0.00,244.62,0.00
104.24.172.69,4,4,0.00,244.62,0.00
104.23.135.20,4,4,0.00,244.63,0.00
104.20.178.234,4,4,0.00,244.66,0.00
104.27.111.185,4,4,0.00,244.67,0.00
104.24.77.72,4,4,0.00,244.67,0.00
104.24.134.106,4,4,0.00,244.67,0.00
104.24.3.176,4,4,0.00,244.68,0.00
104.25.178.231,4,4,0.00,244.69,0.00
172.65.146.224,4,4,0.00,244.71,0.00
172.65.149.43,4,4,0.00,244.71,0.00
104.25.86.160,4,4,0.00,244.71,0.00
104.25.225.80,4,4,0.00,244.73,0.00
104.20.191.60,4,4,0.00,244.74,0.00
172.67.121.40,4,4,0.00,244.75,0.00
172.65.68.167,4,4,0.00,244.76,0.00
104.25.239.162,4,4,0.00,244.77,0.00
104.20.110.43,4,4,0.00,244.77,0.00
104.22.72.133,4,4,0.00,244.78,0.00
104.20.134.250,4,4,0.00,244.78,0.00
104.24.207.136,4,4,0.00,244.79,0.00
104.27.72.111,4,4,0.00,244.79,0.00
104.20.228.219,4,4,0.00,244.79,0.00
172.65.74.157,4,4,0.00,244.80,0.00
172.67.98.35,4,4,0.00,244.81,0.00
104.27.113.1,4,4,0.00,244.82,0.00
104.27.52.225,4,4,0.00,244.82,0.00
104.25.113.227,4,4,0.00,244.85,0.00
104.24.241.39,4,4,0.00,244.87,0.00
104.20.225.115,4,4,0.00,244.88,0.00
172.66.130.51,4,4,0.00,244.91,0.00
104.27.9.51,4,4,0.00,244.91,0.00
104.19.25.199,4,4,0.00,244.91,0.00
104.24.152.111,4,4,0.00,244.93,0.00
104.24.212.185,4,4,0.00,244.96,0.00
104.20.211.153,4,4,0.00,244.98,0.00
172.65.65.173,4,4,0.00,244.99,0.00
104.24.65.142,4,4,0.00,244.99,0.00
104.24.17.112,4,4,0.00,245.01,0.00
104.22.4.250,4,4,0.00,245.03,0.00
104.24.243.67,4,4,0.00,245.04,0.00
104.25.60.217,4,4,0.00,245.05,0.00
104.24.169.251,4,4,0.00,245.07,0.00
104.24.157.20,4,4,0.00,245.07,0.00
104.20.35.34,4,4,0.00,245.07,0.00
104.20.118.82,4,4,0.00,245.07,0.00
172.65.158.61,4,4,0.00,245.08,0.00
172.65.188.143,4,4,0.00,245.10,0.00
104.24.198.89,4,4,0.00,245.11,0.00
104.23.121.47,4,4,0.00,245.14,0.00
104.20.196.207,4,4,0.00,245.17,0.00
104.27.74.246,4,4,0.00,245.18,0.00
104.20.140.73,4,4,0.00,245.20,0.00
104.25.18.107,4,4,0.00,245.20,0.00
104.27.83.22,4,4,0.00,245.21,0.00
104.20.195.212,4,4,0.00,245.23,0.00
104.25.218.194,4,4,0.00,245.24,0.00
172.65.138.219,4,4,0.00,245.25,0.00
104.20.139.114,4,4,0.00,245.25,0.00
104.25.158.253,4,4,0.00,245.26,0.00
104.25.175.251,4,4,0.00,245.27,0.00
172.66.151.91,4,4,0.00,245.28,0.00
172.67.107.24,4,4,0.00,245.29,0.00
172.65.102.7,4,4,0.00,245.29,0.00
104.24.192.48,4,4,0.00,245.29,0.00
104.23.114.207,4,4,0.00,245.30,0.00
104.24.33.225,4,4,0.00,245.32,0.00
104.20.70.197,4,4,0.00,245.33,0.00
172.67.52.11,4,4,0.00,245.36,0.00
104.25.94.195,4,4,0.00,245.38,0.00
172.66.211.22,4,4,0.00,245.40,0.00
104.24.12.145,4,4,0.00,245.40,0.00
104.22.43.158,4,4,0.00,245.40,0.00
172.66.135.118,4,4,0.00,245.41,0.00
172.64.9.113,4,4,0.00,245.45,0.00
104.23.98.104,4,4,0.00,245.46,0.00
104.20.31.233,4,4,0.00,245.48,0.00
104.27.1.172,4,4,0.00,245.49,0.00
104.20.193.110,4,4,0.00,245.49,0.00
172.64.5.102,4,4,0.00,245.50,0.00
104.20.3.192,4,4,0.00,245.51,0.00
104.24.133.69,4,4,0.00,245.57,0.00
172.65.135.250,4,4,0.00,245.60,0.00
104.25.182.65,4,4,0.00,245.60,0.00
104.24.200.111,4,4,0.00,245.61,0.00
104.25.206.32,4,4,0.00,245.64,0.00
104.20.9.83,4,4,0.00,245.64,0.00
104.24.149.4,4,4,0.00,245.66,0.00
104.20.160.116,4,4,0.00,245.67,0.00
104.19.108.21,4,4,0.00,245.68,0.00
104.27.127.209,4,4,0.00,245.69,0.00
104.20.101.212,4,4,0.00,245.70,0.00
172.66.155.182,4,4,0.00,245.70,0.00
104.25.25.3,4,4,0.00,245.72,0.00
172.66.144.83,4,4,0.00,245.72,0.00
104.25.140.46,4,4,0.00,245.73,0.00
172.66.161.72,4,4,0.00,245.74,0.00
104.20.222.2,4,4,0.00,245.75,0.00
104.25.71.240,4,4,0.00,245.76,0.00
104.25.67.148,4,4,0.00,245.76,0.00
104.24.171.66,4,4,0.00,245.76,0.00
104.25.28.222,4,4,0.00,245.77,0.00
104.25.97.2,4,4,0.00,245.78,0.00
104.25.204.156,4,4,0.00,245.79,0.00
104.20.200.84,4,4,0.00,245.80,0.00
